Station ID,Station,Address,Latitude,Longitude,Elevation (metres),Air Intake Height (metres),Frequency,Link
47045,"Barrie , Ontario, Canada",83 Perry St.,44.382361,-79.702306,226,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=47045
54012,"Belleville , Ontario, Canada",2 Sidney St.,44.150528,-77.3955,75,10,Hourly,http://www.airqualityontario.com/history/station.php?stationid=54012
46090,"Brampton , Ontario, Canada",109 Mclaughlin Rd. S.,43.669911,-79.766589,218,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=46090
21005,"Brantford , Ontario, Canada",324 Grand River Ave.,43.138611,-80.292639,205,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=21005
44008,"Burlington , Ontario, Canada",North Shore Blvd. E./lakeshore Rd.,43.315111,-79.802639,78,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=44008
13001,"Chatham , Ontario, Canada",435 Grand Ave. W.,42.403694,-82.208306,179,15,Hourly,http://www.airqualityontario.com/history/station.php?stationid=13001
56051,"Cornwall , Ontario, Canada",Bedford St./3rd St. W.,45.017972,-74.735222,55,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=56051
49010,"Dorset , Ontario, Canada",1026 Bellwood Acres Rd.,45.224278,-78.932944,318,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=49010
15020,"Grand Bend , Ontario, Canada",Point Blake Conservation Area,43.333083,-81.742889,185,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=15020
28028,"Guelph , Ontario, Canada",Exhibition St./clark St. W.,43.551611,-80.264167,330,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=28028
29000,"Hamilton Downtown , Ontario, Canada",Elgin St./kelly St.,43.257778,-79.861667,90,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=29000
29214,"Hamilton Mountain , Ontario, Canada",250 Fennell Ave. W.,43.24132,-79.88941,195,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=29214
29118,"Hamilton West , Ontario, Canada",Main St. W./hwy 403,43.257444,-79.90775,96,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=29118
52023,"Kingston , Ontario, Canada",23 Beechgrove Lane,44.219722,-76.521111,84,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=52023
26060,"Kitchener , Ontario, Canada",West Ave./homewood Ave.,43.443833,-80.503806,325,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=26060
15026,"London , Ontario, Canada",42 St. Julien St.,42.97446,-81.200858,244,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=15026
44029,"Milton , Ontario, Canada",1120 Main St. E.,43.52965,-79.862449,206,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=44029
46108,"Mississauga , Ontario, Canada",3359 Mississauga Rd. N.,43.54697,-79.65869,105,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=46108
48006,"Newmarket , Ontario, Canada",Eagle St. W./mccaffrey Rd.,44.044306,-79.48325,268,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=48006
75010,"North Bay , Ontario, Canada",Chippewa St. W.,46.3225,-79.4494444,212,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=75010
44017,"Oakville , Ontario, Canada",Eighth Line/glenashton Dr.,43.486917,-79.702278,165,12,Hourly,http://www.airqualityontario.com/history/station.php?stationid=44017
45027,"Oshawa , Ontario, Canada",Brittania Ave. W.,43.95222,-78.9125,161,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=45027
51001,"Ottawa Downtown , Ontario, Canada",Rideau St./wurtemburg St.,45.434333,-75.676,68,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=51001
49005,"Parry Sound , Ontario, Canada",7 Bay St.,45.338261,-80.039269,176,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=49005
59006,"Peterborough , Ontario, Canada",10 Hospital Dr.,44.301917,-78.346222,226,10,Hourly,http://www.airqualityontario.com/history/station.php?stationid=59006
16015,"Port Stanley , Ontario, Canada",43665 Dexter Line,42.672083,-81.162889,212,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=16015
14111,"Sarnia , Ontario, Canada",700 Christina St. N.,42.990263,-82.395341,182,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=14111
71078,"Sault Ste. Marie , Ontario, Canada",Sault College,46.533194,-84.309917,244,8,Hourly,http://www.airqualityontario.com/history/station.php?stationid=71078
27067,"St. Catharines , Ontario, Canada",Argyle Cres.,43.160056,-79.23475,105,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=27067
77233,"Sudbury , Ontario, Canada",155 Elm St.,46.49194,-81.003105,271,5,Hourly,http://www.airqualityontario.com/history/station.php?stationid=77233
63203,"Thunder Bay , Ontario, Canada",421 James St. S.,48.379389,-89.290167,192,15,Hourly,http://www.airqualityontario.com/history/station.php?stationid=63203
18007,"Tiverton , Ontario, Canada",4th Concession/bruce Rd. 23,44.314472,-81.549722,226,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=18007
31129,"Toronto Downtown , Ontario, Canada",55 John St.,43.64543,-79.38908,85,3,Hourly,http://www.airqualityontario.com/history/station.php?stationid=31129
33003,"Toronto East , Ontario, Canada",Kennedy Rd./lawrence Ave. E.,43.747917,-79.274056,168,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=33003
34021,"Toronto North , Ontario, Canada",4905 Dufferin St.,43.78047,-79.467372,186,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=34021
35125,"Toronto West , Ontario, Canada",125 Resources Rd.,43.709444,-79.5435,141,8,Hourly,http://www.airqualityontario.com/history/station.php?stationid=35125
12008,"Windsor Downtown , Ontario, Canada",467 University Ave. W.,42.315778,-83.043667,176,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=12008
12016,"Windsor West , Ontario, Canada",College Ave./south St.,42.292889,-83.073139,180,4,Hourly,http://www.airqualityontario.com/history/station.php?stationid=12016